codigo,nombre,tipo,naturaleza,nivel,codigo_padre,requiere_tercero,activa
15884001,Flota Y Equipo Aereo,ACT,debit,5,158840,Si,Si
158845,FLOTA Y EQUIPO FERREO,ACT,debit,4,1588,No,Si
15884501,Flota Y Equipo Ferreo,ACT,debit,5,158845,Si,Si
158850,PLANTAS Y REDES,ACT,debit,4,1588,No,Si
15885001,Plantas Y Redes,ACT,debit,5,158850,Si,Si
158855,ARMAMENTO DE VIGILANCIA,ACT,debit,4,1588,No,Si
15885501,Armamento De Vigilancia,ACT,debit,5,158855,Si,Si
158860,SEMOVIENTES,ACT,debit,4,1588,No,Si
15886001,Semovientes,ACT,debit,5,158860,Si,Si
158865,ENVASES Y EMPAQUES,ACT,debit,4,1588,No,Si
15886501,Envases Y Empaques,ACT,debit,5,158865,Si,Si
1592,DEPRECIACION ACUMULADA,ACT,debit,3,15,No,Si
159205,CONSTRUCCIONES Y EDIFICACIONES,ACT,debit,4,1592,No,Si
15920501,Construcciones Y Edificaciones,ACT,debit,5,159205,Si,Si
159210,MAQUINARIA Y EQUIPO,ACT,debit,4,1592,No,Si
15921001,Maquinaria Y Equipo,ACT,debit,5,159210,Si,Si
159215,EQUIPO DE OFICINA,ACT,debit,4,1592,No,Si
15921501,Equipo De Oficina,ACT,debit,5,159215,Si,Si
159220,EQUIPO DE COMPUTACION Y COMUNICACION,ACT,debit,4,1592,No,Si
15922001,Equipo De Computacion Y Comunicacion,ACT,debit,5,159220,Si,Si
159225,EQUIPO MEDICO-CIENTIFICO,ACT,debit,4,1592,No,Si
15922501,Equipo Medico-Cientifico,ACT,debit,5,159225,Si,Si
159230,EQUIPO DE HOTELES Y RESTAURANTES,ACT,debit,4,1592,No,Si
15923001,Equipo De Hoteles Y Restaurantes,ACT,debit,5,159230,Si,Si
159235,FLOTA Y EQUIPO DE TRANSPORTE,ACT,debit,4,1592,No,Si
15923501,Flota Y Equipo De Transporte,ACT,debit,5,159235,Si,Si
159240,FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO,ACT,debit,4,1592,No,Si
15924001,Flota Y Equipo Fluvial Y/O Maritimo,ACT,debit,5,159240,Si,Si
159245,FLOTA Y EQUIPO AEREO,ACT,debit,4,1592,No,Si
15924501,Flota Y Equipo Aereo,ACT,debit,5,159245,Si,Si
159250,FLOTA Y EQUIPO FERREO,ACT,debit,4,1592,No,Si
15925001,Flota Y Equipo Ferreo,ACT,debit,5,159250,Si,Si
159255,ACUEDUCTOS- PLANTAS Y REDES,ACT,debit,4,1592,No,Si
15925501,Acueductos- Plantas Y Redes,ACT,debit,5,159255,Si,Si
159260,ARMAMENTO DE VIGILANCIA,ACT,debit,4,1592,No,Si
15926001,Armamento De Vigilancia,ACT,debit,5,159260,Si,Si
159265,ENVASES Y EMPAQUES,ACT,debit,4,1592,No,Si
15926501,Envases Y Empaques,ACT,debit,5,159265,Si,Si
1596,DEPRECIACION DIFERIDA,ACT,debit,3,15,No,Si
159605,EXCESO FISCAL SOBRE LA CONTABLE,ACT,debit,4,1596,No,Si
15960501,Exceso Fiscal Sobre La Contable,ACT,debit,5,159605,Si,Si
159610,DEFECTO FISCAL SOBRE LA CONTABLE (CR),ACT,debit,4,1596,No,Si
15961001,Defecto Fiscal Sobre La Contable (Cr),ACT,debit,5,159610,Si,Si
1597,AMORTIZACION ACUMULADA,ACT,debit,3,15,No,Si
159705,PLANTACIONES AGRICOLAS Y FORESTALES,ACT,debit,4,1597,No,Si
15970501,Plantaciones Agricolas Y Forestales,ACT,debit,5,159705,Si,Si
159710,VIAS DE COMUNICACION,ACT,debit,4,1597,No,Si
15971001,Vias De Comunicacion,ACT,debit,5,159710,Si,Si
159715,SEMOVIENTES,ACT,debit,4,1597,No,Si
15971501,Semovientes,ACT,debit,5,159715,Si,Si
1598,AGOTAMIENTO ACUMULADO,ACT,debit,3,15,No,Si
159805,MINAS Y CANTERAS,ACT,debit,4,1598,No,Si
15980501,Minas Y Canteras,ACT,debit,5,159805,Si,Si
159815,POZOS ARTESIANOS,ACT,debit,4,1598,No,Si
15981501,Pozos Artesianos,ACT,debit,5,159815,Si,Si
159820,YACIMIENTOS,ACT,debit,4,1598,No,Si
15982001,Yacimientos,ACT,debit,5,159820,Si,Si
1599,PROVISIONES,ACT,debit,3,15,No,Si
159904,TERRENOS,ACT,debit,4,1599,No,Si
15990401,Terrenos,ACT,debit,5,159904,Si,Si
159906,MATERIALES PROYECTOS PETROLEROS,ACT,debit,4,1599,No,Si
15990601,Materiales Proyectos Petroleros,ACT,debit,5,159906,Si,Si
159908,CONSTRUCCIONES EN CURSO,ACT,debit,4,1599,No,Si
15990801,Construcciones En Curso,ACT,debit,5,159908,Si,Si
159912,MAQUINARIA EN MONTAJE,ACT,debit,4,1599,No,Si
15991201,Maquinaria En Montaje,ACT,debit,5,159912,Si,Si
159916,CONSTRUCCIONES Y EDIFICACIONES,ACT,debit,4,1599,No,Si
15991601,Construcciones Y Edificaciones,ACT,debit,5,159916,Si,Si
159920,MAQUINARIA Y EQUIPO,ACT,debit,4,1599,No,Si
15992001,Maquinaria Y Equipo,ACT,debit,5,159920,Si,Si
159924,EQUIPO DE OFICINA,ACT,debit,4,1599,No,Si
15992401,Equipo De Oficina,ACT,debit,5,159924,Si,Si
159928,EQUIPO DE COMPUTACION Y COMUNICACION,ACT,debit,4,1599,No,Si
15992801,Equipo De Computacion Y Comunicacion,ACT,debit,5,159928,Si,Si
159932,EQUIPO MEDICO-CIENTIFICO,ACT,debit,4,1599,No,Si
15993201,Equipo Medico-Cientifico,ACT,debit,5,159932,Si,Si
159936,EQUIPO DE HOTELES Y RESTAURANTES,ACT,debit,4,1599,No,Si
15993601,Equipo De Hoteles Y Restaurantes,ACT,debit,5,159936,Si,Si
159940,FLOTA Y EQUIPO DE TRANSPORTE,ACT,debit,4,1599,No,Si
15994001,Flota Y Equipo De Transporte,ACT,debit,5,159940,Si,Si
159944,FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO,ACT,debit,4,1599,No,Si
15994401,Flota Y Equipo Fluvial Y/O Maritimo,ACT,debit,5,159944,Si,Si
159948,FLOTA Y EQUIPO AEREO,ACT,debit,4,1599,No,Si
15994801,Flota Y Equipo Aereo,ACT,debit,5,159948,Si,Si
159952,FLOTA Y EQUIPO FERREO,ACT,debit,4,1599,No,Si
15995201,Flota Y Equipo Ferreo,ACT,debit,5,159952,Si,Si
159956,ACUEDUCTOS- PLANTAS Y REDES,ACT,debit,4,1599,No,Si
15995601,Acueductos- Plantas Y Redes,ACT,debit,5,159956,Si,Si
159960,ARMAMENTO DE VIGILANCIA,ACT,debit,4,1599,No,Si
15996001,Armamento De Vigilancia,ACT,debit,5,159960,Si,Si
159962,ENVASES Y EMPAQUES,ACT,debit,4,1599,No,Si
15996201,Envases Y Empaques,ACT,debit,5,159962,Si,Si
159964,PLANTACIONES AGRICOLAS Y FORESTALES,ACT,debit,4,1599,No,Si
15996401,Plantaciones Agricolas Y Forestales,ACT,debit,5,159964,Si,Si
159968,VIAS DE COMUNICACION,ACT,debit,4,1599,No,Si
15996801,Vias De Comunicacion,ACT,debit,5,159968,Si,Si
159972,MINAS Y CANTERAS,ACT,debit,4,1599,No,Si
15997201,Minas Y Canteras,ACT,debit,5,159972,Si,Si
159980,POZOS ARTESIANOS,ACT,debit,4,1599,No,Si
15998001,Pozos Artesianos,ACT,debit,5,159980,Si,Si
159984,YACIMIENTOS,ACT,debit,4,1599,No,Si
15998401,Yacimientos,ACT,debit,5,159984,Si,Si
159988,SEMOVIENTES,ACT,debit,4,1599,No,Si
15998801,Semovientes,ACT,debit,5,159988,Si,Si
159992,PROPIEDADES- PLANTA Y EQUIPO EN TRANSITO,ACT,debit,4,1599,No,Si
15999201,Propiedades- Planta Y Equipo En Transito,ACT,debit,5,159992,Si,Si
16,INTANGIBLES,ACT,debit,2,1,No,Si
1605,CREDITO MERCANTIL,ACT,debit,3,16,No,Si
160505,FORMADO O ESTIMADO,ACT,debit,4,1605,No,Si
16050501,Formado O Estimado,ACT,debit,5,160505,Si,Si
160510,ADQUIRIDO O COMPRADO,ACT,debit,4,1605,No,Si
16051001,Adquirido O Comprado,ACT,debit,5,160510,Si,Si
1610,MARCAS,ACT,debit,3,16,No,Si
161005,ADQUIRIDAS,ACT,debit,4,1610,No,Si
16100501,Adquiridas,ACT,debit,5,161005,Si,Si
161010,FORMADAS,ACT,debit,4,1610,No,Si
16101001,Formadas,ACT,debit,5,161010,Si,Si
1615,PATENTES,ACT,debit,3,16,No,Si
161505,ADQUIRIDAS,ACT,debit,4,1615,No,Si
16150501,Adquiridas,ACT,debit,5,161505,Si,Si
161510,FORMADAS,ACT,debit,4,1615,No,Si
16151001,Formadas,ACT,debit,5,161510,Si,Si
1620,CONCESIONES Y FRANQUICIAS,ACT,debit,3,16,No,Si
162005,CONCESIONES,ACT,debit,4,1620,No,Si
16200501,Concesiones,ACT,debit,5,162005,Si,Si
162010,FRANQUICIAS,ACT,debit,4,1620,No,Si
16201001,Franquicias,ACT,debit,5,162010,Si,Si
1625,DERECHOS,ACT,debit,3,16,No,Si
162505,DERECHOS DE AUTOR,ACT,debit,4,1625,No,Si
16250501,Derechos De Autor,ACT,debit,5,162505,Si,Si
162510,PUESTO DE BOLSA,ACT,debit,4,1625,No,Si
16251001,Puesto De Bolsa,ACT,debit,5,162510,Si,Si
162515,EN FIDEICOMISOS INMOBILIARIOS,ACT,debit,4,1625,No,Si
16251501,En Fideicomisos Inmobiliarios,ACT,debit,5,162515,Si,Si
162520,EN FIDEICOMISOS DE GARANTIA,ACT,debit,4,1625,No,Si
